X,latitude,longitude,flow,concentration,site,lastupdateutc,lastupdate,timestamp,,E_correct,N_correct
37,0,0,2,0,GL3001_D,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,253983,665976
41,0,0,0,0,GC1351_C,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,256836,666053
12,0,0,9,0,GA1901_F,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,258666,665132
35,0,0,10,0,GG1551_A,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,266710,665687
29,0,0,0,0,GC125A_E,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,257025,665940
31,0,0,0,0,GI0551_H,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259855,662870
32,0,0,0,0,GI0551_F,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259855,662870
38,0,0,0,0,GI0651_G,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259761,662762
42,0,0,14,0,GA1901_H,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,258666,665132
20,0,0,97,24,GD1451_D,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,254609,668039
30,0,0,0,0,GA5301_D,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259911,665287
46,0,0,13,0,GJ0051_B,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259254,662554
6,0,0,26,0,GJ0131_M,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,259287,662121
34,0,0,9,0,GG1551_D,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,266710,665687
46,0,0,0,0,GA5351_V,2021-06-16T11:30:00.2453851Z,6/16/2021 11:30:00 AM,6.38E+17,,260114,665486
